代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.46,9.46,合理偏低,0.8,医药生物-化学制药-化学制剂,偏弱,18.29,61.96,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.72,7.72,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2177.27,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.61,6.61,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,6.87,1010.6,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.46,6.46,合理偏低,0.65,交运设备-汽车-汽车零部件,可持续,10.73,488.36,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.27,6.27,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,57.05,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.05,6.05,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2525.35,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.0,6.0,合理偏低,0.71,公用事业-燃气-燃气,可持续,18.99,588.09,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.95,5.95,合理偏低,0.8,纺织服装-服装家纺-家纺,偏弱,13.31,44.1,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.89,5.89,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3832.59,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.87,5.87,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,217.64,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.79,5.79,合理偏低,1.0,医药生物-中药生产-中药生产,偏弱,16.66,298.86,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.78,5.78,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1790.29,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.68,5.68,合理偏低,0.93,公用事业-电力-火电,可持续,10.11,1105.15,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.6,5.6,合理偏低,0.58,互联网-互联网服务-游戏娱乐,偏弱,21.43,406.83,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.42,5.42,合理偏低,0.51,农林牧渔-畜牧业-饲料,可持续,20.07,221.54,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.42,5.42,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1362.65,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.41,5.41,合理偏低,0.8,文化传媒-平面媒体-平面媒体,可持续,11.58,124.83,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.4,5.4,合理偏低,0.69,交通运输-港口航运-航运,偏弱,18.7,260.62,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.35,5.35,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.76,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.32,5.32,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,803.47,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.32,5.32,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,206.21,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.25,5.25,合理偏低,1.0,文化传媒-教育-教育信息化服务,可持续,10.48,143.5,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.22,5.22,合理偏低,0.91,钢铁-钢铁-特钢,可持续,19.04,187.03,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.22,5.22,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1673.06,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.21,5.21,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,115.06,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.2,5.2,合理偏低,0.52,金融-银行-股份制与城商行,可持续,10.71,114.53,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.09,5.09,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2270.49,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.05,5.05,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,279.36,akshare fhps_detail_em / 腾讯批量
