代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.32,10.32,合理偏低,0.74,医药生物-化学制药-化学制剂,偏弱,18.29,56.76,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.82,7.82,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2148.7,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.75,6.75,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,467.23,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.74,6.74,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,991.5,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.47,6.47,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,55.26,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.23,6.23,合理偏低,0.76,纺织服装-服装家纺-家纺,偏弱,13.31,42.16,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.15,6.15,合理偏低,0.69,轻工制造-家具-家具制造,可持续,17.68,207.73,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.14,6.14,合理偏低,0.69,公用事业-燃气-燃气,可持续,18.99,575.09,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.11,6.11,合理偏低,0.7,交通运输-港口航运-航运,偏弱,13.29,2497.86,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.97,5.97,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3781.8,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.92,5.92,合理偏低,0.55,互联网-互联网服务-游戏娱乐,偏弱,21.43,384.71,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.92,5.92,合理偏低,0.89,公用事业-电力-火电,可持续,10.11,1061.19,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.88,5.88,合理偏低,0.99,医药生物-中药生产-中药生产,偏弱,16.66,294.64,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.83,5.83,合理偏低,0.79,金融-银行-股份制与城商行,偏弱,6.84,1772.57,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.76,5.76,低估,0.48,农林牧渔-畜牧业-饲料,偏弱,20.07,208.64,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.69,5.69,低估,0.33,互联网-互联网服务-游戏娱乐,偏弱,33.27,248.24,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.68,5.68,合理偏低,0.72,建筑-建筑施工-专业工程,偏弱,13.82,753.04,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.67,5.67,合理偏低,0.66,交通运输-港口航运-航运,偏弱,18.7,248.23,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.53,5.53,合理偏低,0.8,纺织服装-纺织-印染,可持续,11.25,64.62,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.49,5.49,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,1345.6,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.46,5.46,合理偏低,0.87,钢铁-钢铁-特钢,可持续,19.04,178.92,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.43,5.43,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,201.82,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.41,5.41,合理偏低,0.8,文化传媒-平面媒体-平面媒体,可持续,11.58,124.93,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.34,5.34,低估,0.5,金融-银行-股份制与城商行,可持续,10.71,111.55,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.21,5.21,合理偏低,0.72,家电-白色家电-白色家电,可持续,19.7,6292.3,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.18,5.18,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,103.88,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.15,5.15,合理偏低,0.8,公用事业-水务-水务,可持续,12.44,116.49,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.14,5.14,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2251.09,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.13,5.13,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,1702.79,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.01,5.01,低估,0.45,金融-非银行金融-保险,偏弱,13.47,9754.59,akshare fhps_detail_em / 腾讯批量
