代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.87,9.87,合理偏低,0.77,医药生物-化学制药-化学制剂,偏弱,18.29,59.36,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.8,7.8,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2155.42,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.74,6.74,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,991.5,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.44,6.44,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,489.62,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.28,6.28,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,56.94,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.08,6.08,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2511.61,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.06,6.06,合理偏低,0.7,轻工制造-家具-家具制造,可持续,17.68,210.88,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,5.97,5.97,合理偏低,0.71,公用事业-燃气-燃气,可持续,18.99,590.87,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.96,5.96,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3788.15,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.9,5.9,合理偏低,0.9,公用事业-电力-火电,可持续,10.11,1064.33,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.79,5.79,合理偏低,0.82,纺织服装-服装家纺-家纺,偏弱,13.31,45.36,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1802.11,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.65,5.65,合理偏低,0.58,互联网-互联网服务-游戏娱乐,偏弱,21.43,403.29,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.64,5.64,低估,0.49,农林牧渔-畜牧业-饲料,可持续,20.07,213.12,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.56,5.56,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,121.45,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.4,5.4,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1368.33,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.37,5.37,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,204.38,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.36,5.36,合理偏低,0.7,交通运输-港口航运-航运,偏弱,18.7,262.72,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.34,5.34,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.86,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.34,5.34,合理偏低,0.98,文化传媒-教育-教育信息化服务,可持续,10.48,141.03,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.29,5.29,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,112.63,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.23,5.23,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,114.68,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.19,5.19,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1680.65,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.18,5.18,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,272.73,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.17,5.17,合理偏低,0.79,建筑-建筑施工-专业工程,偏弱,13.82,827.82,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.03,5.03,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,106.82,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.0,5.0,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.15,2311.24,akshare fhps_detail_em / 腾讯批量
