代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.63,9.63,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,60.83,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.49,7.49,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2243.92,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.53,6.53,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,483.0,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.44,6.44,合理偏低,0.66,公用事业-燃气-燃气,可持续,18.99,547.85,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.37,6.37,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,6.87,1048.79,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.22,6.22,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.48,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,6.18,6.18,合理偏低,0.61,交通运输-港口航运-航运,偏弱,18.7,227.86,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.13,6.13,合理偏低,0.75,交通运输-港口航运-航运,偏弱,13.29,2490.23,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.97,5.97,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,8.59,3777.57,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.87,5.87,合理偏低,0.68,金融-银行-股份制与城商行,偏弱,6.84,1760.75,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.83,5.83,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,733.91,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.81,5.81,合理偏低,0.77,公用事业-电力-火电,可持续,10.11,1081.6,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.78,5.78,合理偏低,0.71,轻工制造-家具-家具制造,可持续,17.68,220.97,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.75,5.75,合理偏低,0.81,纺织服装-服装家纺-家纺,偏弱,13.31,45.67,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.64,5.64,低估,0.48,金融-银行-股份制与城商行,可持续,10.71,105.59,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.6,5.6,合理偏低,0.96,金融-银行-股份制与城商行,偏弱,5.32,1048.69,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.49,5.49,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,218.73,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.49,5.49,合理偏低,0.62,食品饮料-食品-乳制品,可持续,21.16,1590.83,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.46,5.46,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,1354.12,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.39,5.39,合理偏低,0.54,金融-银行-股份制与城商行,偏弱,9.15,2144.35,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.38,5.38,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,125.55,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.38,5.38,合理偏低,0.61,互联网-互联网服务-游戏娱乐,偏弱,21.43,423.86,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.35,5.35,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,205.11,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.28,5.28,合理偏低,0.77,公用事业-水务-水务,可持续,12.44,113.52,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.27,5.27,合理偏低,0.54,金融-银行-股份制与城商行,可持续,11.8,9656.68,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.26,5.26,合理偏低,0.52,金融-非银行金融-保险,偏弱,13.47,9292.84,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.25,5.25,合理偏低,0.84,纺织服装-纺织-印染,可持续,11.25,68.09,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.18,5.18,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,103.88,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.14,5.14,合理偏低,0.73,家电-白色家电-白色家电,可持续,19.7,6376.07,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.12,5.12,低估,0.42,金融-银行-股份制与城商行,可持续,13.37,762.92,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.12,5.12,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,275.86,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.08,5.08,合理偏低,0.69,金融-银行-股份制与城商行,可持续,9.63,825.56,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.07,5.07,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,148.31,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.04,5.04,合理偏低,0.67,钢铁-钢铁-特钢,可持续,19.04,193.77,akshare fhps_detail_em / 腾讯批量
