代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.3,10.3,合理偏低,0.74,医药生物-化学制药-化学制剂,偏弱,18.29,56.87,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.21,7.21,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2331.31,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.51,6.51,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,484.26,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.38,6.38,合理偏低,0.67,公用事业-燃气-燃气,可持续,18.99,552.8,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.36,6.36,合理偏低,0.67,机械设备-通用设备-其他通用机械,偏弱,19.46,56.26,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.22,6.22,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,1074.26,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.98,5.98,合理偏低,0.89,公用事业-电力-火电,可持续,10.11,1050.2,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.92,5.92,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,8.59,3813.55,akshare fhps_detail_em / 腾讯批量
601919,中远海控,5.86,5.86,合理偏低,0.78,交通运输-港口航运-航运,偏弱,13.29,2606.27,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.73,5.73,合理偏低,0.77,建筑-建筑施工-专业工程,偏弱,13.82,746.08,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.7,5.7,合理偏低,0.7,金融-银行-股份制与城商行,偏弱,6.84,1813.93,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.56,5.56,合理偏低,0.85,纺织服装-服装家纺-家纺,偏弱,13.31,47.25,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.51,5.51,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,413.47,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.51,5.51,合理偏低,0.74,轻工制造-家具-家具制造,可持续,17.68,231.99,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.48,5.48,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,199.99,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.46,5.46,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,109.11,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.46,5.46,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,220.13,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.45,5.45,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,123.91,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.41,5.41,合理偏低,1.0,金融-银行-股份制与城商行,偏弱,5.32,1086.75,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.35,5.35,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1381.12,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.35,5.35,合理偏低,0.71,交通运输-港口航运-航运,偏弱,18.7,263.14,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.33,5.33,合理偏低,0.64,食品饮料-食品-乳制品,可持续,21.16,1638.27,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.29,5.29,合理偏低,0.83,纺织服装-纺织-印染,可持续,11.25,67.58,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.23,5.23,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.68,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.14,5.14,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2249.15,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.11,5.11,合理偏低,0.94,钢铁-钢铁-特钢,可持续,19.04,191.33,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.1,5.1,合理偏低,0.56,金融-银行-股份制与城商行,可持续,11.8,9961.84,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.09,5.09,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,277.42,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.05,5.05,合理偏低,0.91,文化传媒-教育-教育信息化服务,可持续,10.48,149.05,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.03,5.03,合理偏低,0.56,金融-银行-股份制与城商行,可持续,9.64,106.82,akshare fhps_detail_em / 腾讯批量
