代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.82,9.82,合理偏低,0.77,医药生物-化学制药-化学制剂,偏弱,18.29,59.66,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.78,7.78,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2159.34,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.65,6.65,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,1005.82,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.36,6.36,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,495.61,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.26,6.26,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,57.12,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.08,6.08,合理偏低,0.7,公用事业-燃气-燃气,可持续,18.99,580.04,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.94,5.94,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3798.73,akshare fhps_detail_em / 腾讯批量
601919,中远海控,5.89,5.89,合理偏低,0.73,交通运输-港口航运-航运,偏弱,13.29,2592.53,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.88,5.88,合理偏低,0.9,公用事业-电力-火电,可持续,10.11,1067.47,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.81,5.81,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,219.86,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.78,5.78,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1790.29,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.74,5.74,合理偏低,0.83,纺织服装-服装家纺-家纺,偏弱,13.31,45.75,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.53,5.53,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,412.36,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.46,5.46,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,220.13,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.45,5.45,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,124.01,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.37,5.37,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1375.43,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.36,5.36,合理偏低,0.98,文化传媒-教育-教育信息化服务,可持续,10.48,140.53,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.34,5.34,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,205.48,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.3,5.3,合理偏低,0.83,纺织服装-纺织-印染,可持续,11.25,67.37,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.27,5.27,合理偏低,0.71,交通运输-港口航运-航运,偏弱,18.7,266.92,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.23,5.23,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,113.99,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.21,5.21,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,115.06,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.21,5.21,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1676.22,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.15,5.15,合理偏低,0.79,建筑-建筑施工-专业工程,偏弱,13.82,831.3,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.06,5.06,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,279.14,akshare fhps_detail_em / 腾讯批量
