代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.54,9.54,合理偏低,0.8,医药生物-化学制药-化学制剂,偏弱,18.29,61.39,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.24,7.24,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2320.1,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.47,6.47,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,487.1,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.47,6.47,合理偏低,0.66,公用事业-燃气-燃气,可持续,18.99,545.37,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.24,6.24,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1071.07,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.18,6.18,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.87,akshare fhps_detail_em / 腾讯批量
600011,华能国际,6.01,6.01,合理偏低,0.88,公用事业-电力-火电,可持续,10.11,1045.49,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.01,6.01,合理偏低,0.76,交通运输-港口航运-航运,偏弱,13.29,2540.62,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.89,5.89,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,726.08,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.87,5.87,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3845.29,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.79,5.79,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1784.38,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.66,5.66,合理偏低,0.82,纺织服装-服装家纺-家纺,偏弱,13.31,46.36,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.57,5.57,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,229.3,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.56,5.56,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,410.15,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.56,5.56,合理偏低,0.68,交通运输-港口航运-航运,偏弱,18.7,253.27,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.54,5.54,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,107.49,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.49,5.49,合理偏低,0.98,金融-银行-股份制与城商行,偏弱,5.32,1069.84,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.46,5.46,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,220.13,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.41,5.41,合理偏低,0.63,食品饮料-食品-乳制品,可持续,21.16,1614.23,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.37,5.37,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,125.85,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.36,5.36,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.66,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.28,5.28,合理偏低,0.61,金融-银行-股份制与城商行,偏弱,9.44,1398.17,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.25,5.25,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.29,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.23,5.23,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,9.15,2212.27,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.22,5.22,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,210.23,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.19,5.19,合理偏低,0.65,钢铁-钢铁-特钢,可持续,19.04,188.4,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.19,5.19,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9800.43,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.18,5.18,合理偏低,0.53,金融-非银行金融-保险,偏弱,13.47,9441.32,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.07,5.07,合理偏低,0.91,文化传媒-教育-教育信息化服务,可持续,10.48,148.55,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.05,5.05,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,106.57,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.04,5.04,合理偏低,0.75,家电-白色家电-白色家电,可持续,19.7,6513.47,akshare fhps_detail_em / 腾讯批量
