代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.95,9.95,合理偏低,0.76,医药生物-化学制药-化学制剂,偏弱,18.29,58.89,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.7,7.7,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2181.75,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.53,6.53,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,6.87,1023.33,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.47,6.47,合理偏低,0.65,交运设备-汽车-汽车零部件,可持续,10.73,487.1,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.33,6.33,合理偏低,0.67,机械设备-通用设备-其他通用机械,偏弱,19.46,56.48,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.11,6.11,合理偏低,0.7,交通运输-港口航运-航运,偏弱,13.29,2500.92,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.08,6.08,合理偏低,0.7,公用事业-燃气-燃气,可持续,18.99,580.04,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.04,6.04,合理偏低,0.79,纺织服装-服装家纺-家纺,偏弱,13.31,43.44,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.89,5.89,合理偏低,0.72,轻工制造-家具-家具制造,可持续,17.68,216.9,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.87,5.87,合理偏低,0.99,医药生物-中药生产-中药生产,偏弱,16.66,295.09,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.84,5.84,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,8.59,3860.11,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.76,5.76,合理偏低,0.92,公用事业-电力-火电,可持续,10.11,1091.02,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1802.11,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.67,5.67,合理偏低,0.57,互联网-互联网服务-游戏娱乐,偏弱,21.43,402.18,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.55,5.55,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,216.49,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.46,5.46,合理偏低,0.68,交通运输-港口航运-航运,偏弱,18.7,257.47,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.44,5.44,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,124.11,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.41,5.41,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.05,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.35,5.35,合理偏低,0.89,钢铁-钢铁-特钢,可持续,19.04,182.54,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.35,5.35,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,799.99,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.31,5.31,合理偏低,0.61,金融-银行-股份制与城商行,偏弱,9.44,1391.06,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.24,5.24,合理偏低,0.52,金融-银行-股份制与城商行,可持续,7.81,209.13,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.21,5.21,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,115.06,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.2,5.2,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1678.75,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.14,5.14,合理偏低,0.52,金融-银行-股份制与城商行,可持续,10.71,115.88,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.09,5.09,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,277.29,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.03,5.03,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.15,2299.6,akshare fhps_detail_em / 腾讯批量
