代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.69,9.69,合理偏低,0.71,医药生物-化学制药-化学制剂,偏弱,18.29,60.48,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.26,7.26,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2314.5,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.52,6.52,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,483.31,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.37,6.37,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,6.87,1048.79,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.37,6.37,合理偏低,0.67,公用事业-燃气-燃气,可持续,18.99,554.04,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.26,6.26,合理偏低,0.65,机械设备-通用设备-其他通用机械,偏弱,19.46,57.12,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.04,6.04,合理偏低,0.76,交通运输-港口航运-航运,偏弱,13.29,2526.87,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.99,5.99,合理偏低,0.88,公用事业-电力-火电,可持续,10.11,1048.63,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.84,5.84,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3860.11,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.84,5.84,合理偏低,0.65,交通运输-港口航运-航运,偏弱,18.7,241.09,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.83,5.83,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1772.57,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.79,5.79,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,739.13,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.79,5.79,合理偏低,0.81,纺织服装-服装家纺-家纺,偏弱,13.31,45.31,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.66,5.66,合理偏低,0.72,轻工制造-家具-家具制造,可持续,17.68,225.88,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.57,5.57,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,106.95,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.55,5.55,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,410.59,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.54,5.54,合理偏低,0.97,金融-银行-股份制与城商行,偏弱,5.32,1061.38,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.53,5.53,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,217.33,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.47,5.47,合理偏低,0.62,食品饮料-食品-乳制品,可持续,21.16,1595.89,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.35,5.35,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.76,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.33,5.33,合理偏低,0.61,金融-银行-股份制与城商行,偏弱,9.44,1386.8,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.29,5.29,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2187.05,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.28,5.28,合理偏低,0.8,文化传媒-平面媒体-平面媒体,可持续,11.58,127.9,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.27,5.27,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,208.04,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.24,5.24,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.42,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.18,5.18,合理偏低,0.53,金融-非银行金融-保险,偏弱,13.47,9430.46,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.15,5.15,合理偏低,0.66,钢铁-钢铁-特钢,可持续,19.04,189.67,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.15,5.15,合理偏低,0.56,金融-银行-股份制与城商行,可持续,11.8,9873.57,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.1,5.1,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.35,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.09,5.09,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,147.81,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.09,5.09,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,277.21,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.08,5.08,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6463.1,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.03,5.03,合理偏低,0.7,金融-银行-股份制与城商行,可持续,9.63,834.24,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.0,5.0,低估,0.43,金融-银行-股份制与城商行,可持续,13.37,780.3,akshare fhps_detail_em / 腾讯批量
