代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.7,9.7,合理偏低,0.71,医药生物-化学制药-化学制剂,偏弱,18.29,60.41,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.52,7.52,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2234.96,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.63,6.63,合理偏低,0.64,公用事业-燃气-燃气,可持续,18.99,532.37,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.5,6.5,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2349.76,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.49,6.49,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,485.52,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,6.39,6.39,合理偏低,0.59,交通运输-港口航运-航运,偏弱,18.7,220.09,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.35,6.35,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,6.87,1051.98,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.28,6.28,合理偏低,0.65,机械设备-通用设备-其他通用机械,偏弱,19.46,56.94,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.94,5.94,合理偏低,0.69,轻工制造-家具-家具制造,可持续,17.68,215.05,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.91,5.91,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,8.59,3815.66,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.89,5.89,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,726.08,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.85,5.85,合理偏低,0.76,公用事业-电力-火电,可持续,10.11,1073.75,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.83,5.83,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1772.57,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.81,5.81,合理偏低,0.8,纺织服装-服装家纺-家纺,偏弱,13.31,45.15,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.66,5.66,低估,0.48,金融-银行-股份制与城商行,可持续,10.71,105.32,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.6,5.6,合理偏低,0.96,金融-银行-股份制与城商行,偏弱,5.32,1048.69,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.52,5.52,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.44,1338.49,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.46,5.46,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,123.6,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.41,5.41,合理偏低,0.63,食品饮料-食品-乳制品,可持续,21.16,1613.6,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.4,5.4,低估,0.49,金融-银行-股份制与城商行,可持续,7.81,203.28,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.39,5.39,低估,0.47,农林牧渔-畜牧业-饲料,可持续,20.07,222.94,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.36,5.36,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2156.0,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.27,5.27,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,67.78,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.26,5.26,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.03,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.24,5.24,合理偏低,0.54,金融-银行-股份制与城商行,可持续,11.8,9699.55,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.22,5.22,合理偏低,0.52,金融-非银行金融-保险,偏弱,13.47,9370.7,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.2,5.2,合理偏低,0.63,互联网-互联网服务-游戏娱乐,偏弱,21.43,438.02,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.18,5.18,合理偏低,0.73,家电-白色家电-白色家电,可持续,19.7,6334.02,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.16,5.16,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,104.13,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.12,5.12,合理偏低,0.66,钢铁-钢铁-特钢,可持续,19.04,190.84,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.12,5.12,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,146.95,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.1,5.1,低估,0.43,金融-银行-股份制与城商行,可持续,13.37,765.46,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.03,5.03,合理偏低,0.7,金融-银行-股份制与城商行,可持续,9.63,834.24,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.02,5.02,低估,0.38,互联网-互联网服务-游戏娱乐,偏弱,33.27,281.18,akshare fhps_detail_em / 腾讯批量
