代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.49,9.49,合理偏低,0.8,医药生物-化学制药-化学制剂,偏弱,18.29,61.75,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.83,7.83,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2144.78,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.66,6.66,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,1004.23,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.45,6.45,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,488.67,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.23,6.23,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,57.44,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.2,6.2,合理偏低,0.69,交通运输-港口航运-航运,偏弱,13.29,2464.28,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.01,6.01,合理偏低,0.71,公用事业-燃气-燃气,可持续,18.99,586.85,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.0,6.0,合理偏低,0.79,纺织服装-服装家纺-家纺,偏弱,13.31,43.73,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.99,5.99,合理偏低,0.71,轻工制造-家具-家具制造,可持续,17.68,213.38,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.87,5.87,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3845.29,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.8,5.8,合理偏低,0.91,公用事业-电力-火电,可持续,10.11,1083.17,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.76,5.76,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1796.2,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.57,5.57,合理偏低,0.67,交通运输-港口航运-航运,偏弱,18.7,252.43,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.47,5.47,合理偏低,0.6,互联网-互联网服务-游戏娱乐,偏弱,21.43,416.79,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.45,5.45,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,1356.96,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.41,5.41,合理偏低,0.51,农林牧渔-畜牧业-饲料,可持续,20.07,222.1,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.35,5.35,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,205.11,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.34,5.34,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,800.86,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.33,5.33,合理偏低,0.83,纺织服装-纺织-印染,可持续,11.25,67.07,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.29,5.29,合理偏低,0.82,文化传媒-平面媒体-平面媒体,可持续,11.58,127.59,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.23,5.23,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,114.68,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.22,5.22,合理偏低,0.91,钢铁-钢铁-特钢,可持续,19.04,187.03,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.21,5.21,合理偏低,0.52,金融-银行-股份制与城商行,可持续,10.71,114.26,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.2,5.2,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1678.12,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.06,5.06,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2286.02,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.05,5.05,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6496.19,akshare fhps_detail_em / 腾讯批量
