代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.11,10.11,合理偏低,0.75,医药生物-化学制药-化学制剂,偏弱,18.29,57.95,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.75,7.75,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2168.3,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.59,6.59,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,6.87,1013.78,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.45,6.45,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,488.99,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.39,6.39,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,55.98,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.21,6.21,合理偏低,0.69,交通运输-港口航运-航运,偏弱,13.29,2458.17,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.18,6.18,合理偏低,0.77,纺织服装-服装家纺-家纺,偏弱,13.31,42.45,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.07,6.07,合理偏低,0.7,公用事业-燃气-燃气,可持续,18.99,581.28,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.9,5.9,合理偏低,0.55,互联网-互联网服务-游戏娱乐,偏弱,21.43,386.26,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.88,5.88,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,217.27,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.87,5.87,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3841.06,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.82,5.82,合理偏低,1.0,医药生物-中药生产-中药生产,偏弱,16.66,297.33,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.74,5.74,合理偏低,0.92,公用事业-电力-火电,可持续,10.11,1094.16,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1802.11,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.64,5.64,合理偏低,0.66,交通运输-港口航运-航运,偏弱,18.7,249.49,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.62,5.62,低估,0.49,农林牧渔-畜牧业-饲料,可持续,20.07,213.68,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.55,5.55,合理偏低,0.79,纺织服装-纺织-印染,可持续,11.25,64.41,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.43,5.43,合理偏低,0.88,钢铁-钢铁-特钢,可持续,19.04,180.09,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.4,5.4,合理偏低,0.8,文化传媒-平面媒体-平面媒体,可持续,11.58,125.14,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.38,5.38,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,794.78,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.32,5.32,合理偏低,0.61,金融-银行-股份制与城商行,偏弱,9.44,1388.22,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.3,5.3,低估,0.36,互联网-互联网服务-游戏娱乐,偏弱,33.27,266.55,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.27,5.27,合理偏低,0.52,金融-银行-股份制与城商行,可持续,7.81,208.04,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.14,5.14,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,1698.36,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.13,5.13,合理偏低,0.52,金融-银行-股份制与城商行,可持续,10.71,116.15,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.11,5.11,合理偏低,0.81,公用事业-水务-水务,可持续,12.44,117.37,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.03,5.03,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.15,2299.6,akshare fhps_detail_em / 腾讯批量
