代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.55,10.55,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,55.54,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.27,7.27,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2310.02,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.55,6.55,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,481.11,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.51,6.51,合理偏低,0.65,公用事业-燃气-燃气,可持续,18.99,541.97,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.26,6.26,合理偏低,0.65,机械设备-通用设备-其他通用机械,偏弱,19.46,57.16,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.26,6.26,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1067.89,akshare fhps_detail_em / 腾讯批量
600011,华能国际,6.06,6.06,合理偏低,0.87,公用事业-电力-火电,可持续,10.11,1036.07,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.9,5.9,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,725.21,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.89,5.89,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3830.48,akshare fhps_detail_em / 腾讯批量
601919,中远海控,5.88,5.88,合理偏低,0.78,交通运输-港口航运-航运,偏弱,13.29,2597.11,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.79,5.79,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1784.38,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.58,5.58,合理偏低,0.84,纺织服装-服装家纺-家纺,偏弱,13.31,47.01,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.56,5.56,合理偏低,0.74,轻工制造-家具-家具制造,可持续,17.68,229.86,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.54,5.54,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,411.25,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.52,5.52,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,217.61,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.49,5.49,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,108.57,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.48,5.48,合理偏低,0.77,文化传媒-平面媒体-平面媒体,可持续,11.58,123.3,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.46,5.46,合理偏低,0.99,金融-银行-股份制与城商行,偏弱,5.32,1076.18,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.45,5.45,合理偏低,0.7,交通运输-港口航运-航运,偏弱,18.7,258.1,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.43,5.43,合理偏低,0.63,食品饮料-食品-乳制品,可持续,21.16,1606.64,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.43,5.43,合理偏低,0.81,纺织服装-纺织-印染,可持续,11.25,65.74,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.34,5.34,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1383.96,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.29,5.29,合理偏低,0.77,公用事业-水务-水务,可持续,12.44,113.39,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.24,5.24,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,209.5,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.22,5.22,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,9.15,2214.22,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.19,5.19,合理偏低,0.65,钢铁-钢铁-特钢,可持续,19.04,188.4,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.18,5.18,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9810.52,akshare fhps_detail_em / 腾讯批量
600027,华电国际,5.16,5.16,合理偏低,1.0,,偏弱,8.78,517.89,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.13,5.13,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,146.83,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.11,5.11,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,276.5,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.1,5.1,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6431.08,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.08,5.08,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.84,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.06,5.06,低估,0.45,金融-非银行金融-保险,偏弱,13.47,9660.43,akshare fhps_detail_em / 腾讯批量
