代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.62,9.62,合理偏低,0.79,医药生物-化学制药-化学制剂,偏弱,18.29,60.9,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.71,7.71,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2178.95,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.72,6.72,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,994.68,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.5,6.5,合理偏低,0.65,交运设备-汽车-汽车零部件,可持续,10.73,485.2,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.26,6.26,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,57.12,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.25,6.25,合理偏低,0.69,交通运输-港口航运-航运,偏弱,13.29,2442.9,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.97,5.97,合理偏低,0.79,纺织服装-服装家纺-家纺,偏弱,13.31,43.97,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,5.93,5.93,合理偏低,0.72,公用事业-燃气-燃气,可持续,18.99,595.2,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.92,5.92,合理偏低,0.72,轻工制造-家具-家具制造,可持续,17.68,215.88,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.91,5.91,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3819.9,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.85,5.85,合理偏低,0.91,公用事业-电力-火电,可持续,10.11,1073.75,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.81,5.81,合理偏低,0.79,金融-银行-股份制与城商行,偏弱,6.84,1778.48,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.51,5.51,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,218.17,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.49,5.49,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,1347.02,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.48,5.48,合理偏低,0.68,交通运输-港口航运-航运,偏弱,18.7,256.84,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.46,5.46,合理偏低,0.6,互联网-互联网服务-游戏娱乐,偏弱,21.43,417.01,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.42,5.42,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,202.55,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.36,5.36,合理偏低,0.81,文化传媒-平面媒体-平面媒体,可持续,11.58,126.06,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.36,5.36,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.66,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.33,5.33,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,802.6,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.28,5.28,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,112.9,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.25,5.25,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,114.16,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.23,5.23,合理偏低,0.91,钢铁-钢铁-特钢,可持续,19.04,186.74,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.19,5.19,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,1683.18,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.1,5.1,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,105.35,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.09,5.09,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2270.49,akshare fhps_detail_em / 腾讯批量
