代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.95,9.95,合理偏低,0.76,医药生物-化学制药-化学制剂,偏弱,18.29,58.86,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.74,7.74,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2169.98,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.7,6.7,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,997.87,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.43,6.43,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,490.25,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.35,6.35,合理偏低,0.67,机械设备-通用设备-其他通用机械,偏弱,19.46,56.37,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.05,6.05,合理偏低,0.7,轻工制造-家具-家具制造,可持续,17.68,211.07,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.04,6.04,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2529.93,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.95,5.95,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3794.5,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,5.94,5.94,合理偏低,0.72,公用事业-燃气-燃气,可持续,18.99,593.97,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.92,5.92,合理偏低,0.8,纺织服装-服装家纺-家纺,偏弱,13.31,44.36,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.82,5.82,合理偏低,0.91,公用事业-电力-火电,可持续,10.11,1078.46,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.72,5.72,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1808.02,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.63,5.63,合理偏低,0.58,互联网-互联网服务-游戏娱乐,偏弱,21.43,404.84,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.56,5.56,低估,0.49,农林牧渔-畜牧业-饲料,可持续,20.07,215.93,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.48,5.48,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,123.19,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.42,5.42,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1364.07,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.36,5.36,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.66,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.36,5.36,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,204.75,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.35,5.35,合理偏低,0.7,交通运输-港口航运-航运,偏弱,18.7,263.14,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.31,5.31,合理偏低,0.77,建筑-建筑施工-专业工程,偏弱,13.82,806.08,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.3,5.3,合理偏低,0.99,文化传媒-教育-教育信息化服务,可持续,10.48,142.02,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.26,5.26,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,113.17,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.2,5.2,合理偏低,0.8,公用事业-水务-水务,可持续,12.44,115.32,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.2,5.2,合理偏低,0.78,食品饮料-食品-乳制品,可持续,21.16,1680.02,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.14,5.14,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,274.45,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.04,5.04,合理偏低,0.95,钢铁-钢铁-特钢,可持续,19.04,194.07,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.03,5.03,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,106.82,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.02,5.02,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.15,2305.42,akshare fhps_detail_em / 腾讯批量
