代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.5,10.5,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,55.77,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.24,7.24,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2321.78,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.48,6.48,合理偏低,0.66,公用事业-燃气-燃气,可持续,18.99,544.13,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.46,6.46,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,488.04,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.23,6.23,合理偏低,0.68,机械设备-通用设备-其他通用机械,偏弱,19.46,57.37,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.13,6.13,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,6.87,1090.17,akshare fhps_detail_em / 腾讯批量
600011,华能国际,6.02,6.02,合理偏低,0.88,公用事业-电力-火电,可持续,10.11,1042.35,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.83,5.83,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3868.57,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.76,5.76,合理偏低,0.81,纺织服装-服装家纺-家纺,偏弱,13.31,45.57,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.75,5.75,合理偏低,0.77,建筑-建筑施工-专业工程,偏弱,13.82,743.47,akshare fhps_detail_em / 腾讯批量
601919,中远海控,5.74,5.74,合理偏低,0.8,交通运输-港口航运-航运,偏弱,13.29,2659.71,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.7,5.7,合理偏低,0.7,金融-银行-股份制与城商行,偏弱,6.84,1813.93,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.64,5.64,合理偏低,0.77,文化传媒-平面媒体-平面媒体,可持续,11.58,119.71,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.6,5.6,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,407.05,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.57,5.57,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,229.4,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.44,5.44,合理偏低,0.51,农林牧渔-畜牧业-饲料,可持续,20.07,220.69,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.43,5.43,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,109.66,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.39,5.39,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.25,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.38,5.38,合理偏低,1.0,金融-银行-股份制与城商行,偏弱,5.32,1093.09,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.34,5.34,合理偏低,0.64,食品饮料-食品-乳制品,可持续,21.16,1634.47,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.27,5.27,合理偏低,0.61,金融-银行-股份制与城商行,偏弱,9.44,1402.43,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.24,5.24,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.42,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.18,5.18,合理偏低,0.53,金融-银行-股份制与城商行,可持续,7.81,211.69,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.16,5.16,合理偏低,0.56,金融-银行-股份制与城商行,偏弱,9.15,2243.32,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.15,5.15,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,274.35,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.12,5.12,合理偏低,0.66,钢铁-钢铁-特钢,可持续,19.04,191.04,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.1,5.1,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,147.69,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.09,5.09,合理偏低,0.56,金融-银行-股份制与城商行,可持续,11.8,9982.01,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.0,5.0,合理偏低,0.75,家电-白色家电-白色家电,可持续,19.7,6560.0,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.0,5.0,合理偏低,0.56,金融-银行-股份制与城商行,可持续,9.64,107.55,akshare fhps_detail_em / 腾讯批量
