代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.63,9.63,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,60.81,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.46,7.46,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2254.01,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.58,6.58,合理偏低,0.65,公用事业-燃气-燃气,可持续,18.99,536.4,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.56,6.56,合理偏低,0.7,交通运输-港口航运-航运,偏弱,13.29,2328.39,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.44,6.44,合理偏低,0.64,交运设备-汽车-汽车零部件,可持续,10.73,489.3,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.31,6.31,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1059.93,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.23,6.23,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.37,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,6.18,6.18,合理偏低,0.61,交通运输-港口航运-航运,偏弱,18.7,227.86,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.87,5.87,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,728.69,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.87,5.87,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3845.29,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.81,5.81,合理偏低,0.8,纺织服装-服装家纺-家纺,偏弱,13.31,45.18,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.79,5.79,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1784.38,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.78,5.78,合理偏低,0.77,公用事业-电力-火电,可持续,10.11,1086.31,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.75,5.75,合理偏低,0.71,轻工制造-家具-家具制造,可持续,17.68,222.08,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.59,5.59,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.44,1322.86,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.57,5.57,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,106.95,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.57,5.57,合理偏低,0.97,金融-银行-股份制与城商行,偏弱,5.32,1055.03,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.43,5.43,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,124.32,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.41,5.41,低估,0.46,农林牧渔-畜牧业-饲料,可持续,20.07,222.1,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.37,5.37,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,204.38,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.36,5.36,合理偏低,0.62,互联网-互联网服务-游戏娱乐,偏弱,21.43,424.97,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.33,5.33,合理偏低,0.64,食品饮料-食品-乳制品,可持续,21.16,1637.64,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.3,5.3,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2183.17,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.3,5.3,合理偏低,0.81,纺织服装-纺织-印染,可持续,11.25,67.48,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.23,5.23,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.68,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.2,5.2,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9777.73,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.12,5.12,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.11,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.11,5.11,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6422.46,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.11,5.11,合理偏低,0.53,金融-非银行金融-保险,偏弱,13.47,9560.83,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.11,5.11,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,147.2,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.11,5.11,合理偏低,0.69,金融-银行-股份制与城商行,可持续,9.63,821.71,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.1,5.1,低估,0.37,互联网-互联网服务-游戏娱乐,偏弱,33.27,276.82,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.07,5.07,低估,0.43,金融-银行-股份制与城商行,可持续,13.37,769.7,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.04,5.04,合理偏低,0.67,钢铁-钢铁-特钢,可持续,19.04,193.97,akshare fhps_detail_em / 腾讯批量
