代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.85,9.85,合理偏低,0.77,医药生物-化学制药-化学制剂,偏弱,18.29,59.5,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.7,7.7,低估,0.39,家电-白色家电-白色家电,可持续,20.3,2183.43,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.65,6.65,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,1005.82,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.42,6.42,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,491.19,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.29,6.29,合理偏低,0.67,机械设备-通用设备-其他通用机械,偏弱,19.46,56.91,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.23,6.23,合理偏低,0.69,交通运输-港口航运-航运,偏弱,13.29,2452.06,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,5.92,5.92,合理偏低,0.72,公用事业-燃气-燃气,可持续,18.99,596.13,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.92,5.92,合理偏低,0.8,纺织服装-服装家纺-家纺,偏弱,13.31,44.36,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.85,5.85,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,8.59,3855.87,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.83,5.83,合理偏低,0.91,公用事业-电力-火电,可持续,10.11,1076.89,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.81,5.81,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,219.77,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1802.11,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.52,5.52,合理偏低,0.59,互联网-互联网服务-游戏娱乐,偏弱,21.43,413.02,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.48,5.48,低估,0.5,农林牧渔-畜牧业-饲料,可持续,20.07,219.29,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.41,5.41,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1365.49,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.4,5.4,合理偏低,0.69,交通运输-港口航运-航运,偏弱,18.7,260.41,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.37,5.37,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,796.52,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.37,5.37,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,66.56,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.34,5.34,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,205.48,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.31,5.31,合理偏低,0.99,文化传媒-教育-教育信息化服务,可持续,10.48,141.77,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.29,5.29,合理偏低,0.82,文化传媒-平面媒体-平面媒体,可持续,11.58,127.59,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.24,5.24,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,114.55,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.21,5.21,合理偏低,0.52,金融-银行-股份制与城商行,可持续,10.71,114.26,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.14,5.14,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,1698.99,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.06,5.06,合理偏低,0.94,钢铁-钢铁-特钢,可持续,19.04,193.28,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.01,5.01,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.15,2307.36,akshare fhps_detail_em / 腾讯批量
