代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.31,10.31,合理偏低,0.74,医药生物-化学制药-化学制剂,偏弱,18.29,56.83,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.87,7.87,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2134.14,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.67,6.67,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,472.91,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.65,6.65,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,1005.82,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.47,6.47,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,55.3,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.2,6.2,合理偏低,0.76,纺织服装-服装家纺-家纺,偏弱,13.31,42.34,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.14,6.14,合理偏低,0.69,轻工制造-家具-家具制造,可持续,17.68,208.2,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.11,6.11,合理偏低,0.7,交通运输-港口航运-航运,偏弱,13.29,2500.92,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.05,6.05,合理偏低,0.7,公用事业-燃气-燃气,可持续,18.99,582.82,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.99,5.99,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3766.99,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.9,5.9,合理偏低,0.55,互联网-互联网服务-游戏娱乐,偏弱,21.43,386.26,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.88,5.88,合理偏低,0.99,医药生物-中药生产-中药生产,偏弱,16.66,294.32,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.83,5.83,合理偏低,0.91,公用事业-电力-火电,可持续,10.11,1076.89,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.77,5.77,合理偏低,0.65,交通运输-港口航运-航运,偏弱,18.7,244.03,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.74,5.74,低估,0.48,农林牧渔-畜牧业-饲料,可持续,20.07,209.48,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.8,金融-银行-股份制与城商行,偏弱,6.84,1802.11,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.58,5.58,合理偏低,0.86,钢铁-钢铁-特钢,可持续,19.04,175.01,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.57,5.57,合理偏低,0.73,建筑-建筑施工-专业工程,偏弱,13.82,767.82,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.46,5.46,合理偏低,0.81,纺织服装-纺织-印染,可持续,11.25,65.43,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.43,5.43,合理偏低,0.8,文化传媒-平面媒体-平面媒体,可持续,11.58,124.32,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.41,5.41,合理偏低,0.6,金融-银行-股份制与城商行,偏弱,9.44,1365.49,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.35,5.35,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,205.11,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.29,5.29,合理偏低,0.77,食品饮料-食品-乳制品,可持续,21.16,1650.92,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.25,5.25,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,113.45,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.25,5.25,低估,0.36,互联网-互联网服务-游戏娱乐,偏弱,33.27,269.07,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.09,5.09,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2270.49,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.08,5.08,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.84,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.06,5.06,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6484.94,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.05,5.05,低估,0.45,金融-非银行金融-保险,偏弱,13.47,9689.4,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.03,5.03,合理偏低,0.82,公用事业-水务-水务,可持续,12.44,119.14,akshare fhps_detail_em / 腾讯批量
