代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.62,9.62,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,60.93,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.4,7.4,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2270.81,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.52,6.52,合理偏低,0.65,公用事业-燃气-燃气,可持续,18.99,541.35,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.46,6.46,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2363.51,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,6.45,6.45,合理偏低,0.59,交通运输-港口航运-航运,偏弱,18.7,218.2,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.31,6.31,合理偏低,0.65,交运设备-汽车-汽车零部件,可持续,10.73,500.02,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.23,6.23,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1072.67,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.2,6.2,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.69,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.85,5.85,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3855.87,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.79,5.79,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1784.38,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.77,5.77,合理偏低,0.76,建筑-建筑施工-专业工程,偏弱,13.82,741.73,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.73,5.73,合理偏低,0.78,公用事业-电力-火电,可持续,10.11,1095.73,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.63,5.63,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.44,1311.49,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.6,5.6,合理偏低,0.83,纺织服装-服装家纺-家纺,偏弱,13.31,46.86,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.6,5.6,合理偏低,0.73,轻工制造-家具-家具制造,可持续,17.68,228.01,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.58,5.58,低估,0.48,金融-银行-股份制与城商行,可持续,10.71,106.68,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.55,5.55,合理偏低,0.97,金融-银行-股份制与城商行,偏弱,5.32,1059.26,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.41,5.41,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,124.73,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.38,5.38,低估,0.47,农林牧渔-畜牧业-饲料,可持续,20.07,223.22,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.34,5.34,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,205.48,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.29,5.29,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2185.11,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.29,5.29,合理偏低,0.65,食品饮料-食品-乳制品,可持续,21.16,1650.92,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.27,5.27,合理偏低,0.67,金融-银行-股份制与城商行,可持续,9.63,796.63,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.26,5.26,合理偏低,0.63,互联网-互联网服务-游戏娱乐,偏弱,21.43,433.6,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.19,5.19,合理偏低,0.83,纺织服装-纺织-印染,可持续,11.25,68.91,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.18,5.18,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9823.13,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.17,5.17,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,115.96,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.14,5.14,合理偏低,0.53,金融-非银行金融-保险,偏弱,13.47,9515.57,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.12,5.12,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,146.95,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.09,5.09,低估,0.43,金融-银行-股份制与城商行,可持续,13.37,767.58,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.08,5.08,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.84,akshare fhps_detail_em / 腾讯批量
601998,中信银行,5.07,5.07,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,8.52,4184.52,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.07,5.07,低估,0.41,互联网-互联网服务-游戏娱乐,偏弱,33.27,278.26,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.06,5.06,合理偏低,0.67,钢铁-钢铁-特钢,可持续,19.04,193.19,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.02,5.02,合理偏低,0.75,家电-白色家电-白色家电,可持续,19.7,6531.45,akshare fhps_detail_em / 腾讯批量
