代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.67,9.67,合理偏低,0.72,医药生物-化学制药-化学制剂,偏弱,18.29,60.6,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.46,7.46,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2253.45,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.58,6.58,合理偏低,0.65,公用事业-燃气-燃气,可持续,18.99,536.09,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.49,6.49,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2354.34,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.32,6.32,合理偏低,0.65,交运设备-汽车-汽车零部件,可持续,10.73,498.76,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.28,6.28,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1064.71,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,6.19,6.19,合理偏低,0.61,交通运输-港口航运-航运,偏弱,18.7,227.23,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.17,6.17,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.94,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.89,5.89,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3830.48,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.84,5.84,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,732.17,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.78,5.78,合理偏低,0.69,金融-银行-股份制与城商行,偏弱,6.84,1790.29,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.76,5.76,合理偏低,0.78,公用事业-电力-火电,可持续,10.11,1091.02,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,5.7,5.7,合理偏低,0.82,纺织服装-服装家纺-家纺,偏弱,13.31,46.02,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.61,5.61,低估,0.48,金融-银行-股份制与城商行,可持续,10.71,106.14,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.61,5.61,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,9.44,1317.18,akshare fhps_detail_em / 腾讯批量
601169,北京银行,5.55,5.55,合理偏低,0.97,金融-银行-股份制与城商行,偏弱,5.32,1059.26,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,5.55,5.55,合理偏低,0.74,轻工制造-家具-家具制造,可持续,17.68,230.14,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.45,5.45,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,123.91,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.41,5.41,低估,0.46,农林牧渔-畜牧业-饲料,可持续,20.07,222.1,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.34,5.34,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,205.48,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.33,5.33,合理偏低,0.64,食品饮料-食品-乳制品,可持续,21.16,1638.9,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.3,5.3,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2183.17,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.24,5.24,合理偏低,0.63,互联网-互联网服务-游戏娱乐,偏弱,21.43,435.15,akshare fhps_detail_em / 腾讯批量
601825,沪农商行,5.24,5.24,合理偏低,0.67,金融-银行-股份制与城商行,可持续,9.63,800.49,akshare fhps_detail_em / 腾讯批量
600036,招商银行,5.21,5.21,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9760.08,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.21,5.21,合理偏低,0.79,公用事业-水务-水务,可持续,12.44,115.06,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.2,5.2,合理偏低,0.83,纺织服装-纺织-印染,可持续,11.25,68.7,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.13,5.13,合理偏低,0.53,金融-非银行金融-保险,偏弱,13.47,9524.62,akshare fhps_detail_em / 腾讯批量
601811,新华文轩,5.11,5.11,合理偏低,0.9,文化传媒-教育-教育信息化服务,可持续,10.48,147.2,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.11,5.11,低估,0.41,互联网-互联网服务-游戏娱乐,偏弱,33.27,276.13,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.1,5.1,合理偏低,0.74,家电-白色家电-白色家电,可持续,19.7,6433.87,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.09,5.09,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,105.6,akshare fhps_detail_em / 腾讯批量
601838,成都银行,5.07,5.07,低估,0.43,金融-银行-股份制与城商行,可持续,13.37,769.28,akshare fhps_detail_em / 腾讯批量
601998,中信银行,5.01,5.01,合理偏低,0.7,金融-银行-股份制与城商行,偏弱,8.52,4229.03,akshare fhps_detail_em / 腾讯批量
